filename,LVB_142DPI
X137.046_0.35,0.001441587
X269.088_0.35,0.002265299
X169.036_0.375,0.554409796
X338.342_3.533,1
X387.181_2.767,0.002431167
X311.081_2.525,1
X228.196_2.71,0.554409796
X404.207_2.768,0.002431167
X496.341_2.926,0.551876339
X310.31_3.391,1
X228.196_3.321,0.73352908
X285.022_2.394,0.711304283
X336.326_3.156,0.554409796
X524.372_3.04,0.554409796
X596.357_2.948,0.192777265
X409.162_2.768,0.003982168
X244.191_2.61,1
X624.388_3.054,0.062093443
X226.181_2.61,1
X238.1_2.259,1
X226.181_3.32,0.874740699
X244.191_3.324,0.572400722
X638.403_3.073,0.01970619
X287.018_2.395,0.656597049
X489.228_2.768,0.000917852
X110.021_5.865,0.925539989
X312.326_3.521,0.031541201
X610.372_2.951,0.679762208
X110.021_6.211,1
X580.361_2.989,0.002265299
X183.15_2.549,0.554409796
X637.306_3.32,0.22148413
X146.981_3.86,0.883676736
X105.07_2.767,0.002431167
X352.321_3.187,0.176259532
X432.238_2.769,0.110442095
X200.165_3.207,0.265396987
X267.123_2.767,0.003476579
X200.165_2.552,0.847360888
X126.022_0.338,0.554409796
X608.393_3.098,0.110442095
X666.434_3.024,0.847360888
X123.056_0.323,0.554409796
X240.097_2.259,1
X522.357_2.957,0.131391022
X482.325_3.027,0.874740699
X308.295_3.045,0.554409796
X650.44_3.113,0.90255105
X333.063_2.524,0.679762208
X594.377_3,0.819883408
X282.279_3.26,0.572400722
X285.133_2.768,0.002265299
X790.38_2.768,0.001097838
X582.341_3.046,0.238925729
X622.409_3.109,0.711304283
X100.076_2.546,0.554409796
X366.373_3.699,0.158906213
X401.342_3.422,0.238925729
X340.357_3.733,0.565930283
X636.388_2.978,0.786149473
X214.181_2.634,0.160925177
X198.15_2.471,0.925539989
X132.102_0.307,0.010300448
X113.964_6.456,1
X110.021_5.953,1
X369.352_3.849,0.783026598
X369.17_2.767,0.001097838
X568.341_2.887,0.110442095
X221.111_2.312,0.554409796
X321.315_3.533,0.554409796
X208.17_3.328,0.554409796
X216.196_2.567,0.379006802
X313.077_2.525,1
X354.337_3.278,0.554409796
X216.16_2.471,0.858814452
X137.046_0.42,0.003019147
X111.092_5.384,0.379006802
X652.382_2.947,0.554409796
X520.341_2.89,0.252725815
X425.136_2.773,0.554409796
X795.335_2.768,0.001943688
X280.263_3.169,0.554409796
X256.264_3.225,0.002265299
X198.186_3.331,0.59965439
X113.964_6.627,1
X111.092_5.093,0.554409796
X256.227_2.847,0.847360888
X295.227_3.017,0.04049528
X111.092_4.634,1
X454.294_2.917,0.364033825
X122.072_5.438,0.489947517
X554.31_2.942,0.208187153
X544.34_2.89,0.160925177
X103.956_5.525,0.903294334
X646.408_3.051,0.554409796
X232.191_2.63,0.119000081
X308.295_3.285,0.554409796
X524.335_2.977,0.551876339
X680.414_3.051,0.096566465
X230.248_2.715,0.137275242
X678.469_3.244,0.768455721
X224.084_2.236,0.160925177
X281.102_2.768,0.005944731
X526.294_2.877,0.554409796
X301.285_2.662,0.73352908
X216.16_3.213,0.554409796
X375.199_2.868,0.656597049
X283.118_2.713,0.551876339
X664.419_3.086,0.344493092
X343.296_2.691,0.903294334
X608.393_3.002,0.554409796
X550.351_3.01,0.554409796
X324.29_3.082,0.031541201
X128.118_5.106,0.554409796
X175.148_2.71,0.554409796
X278.248_3.1,0.192777265
X266.173_2.61,0.629072885
X250.178_2.71,0.819883408
X198.149_3.205,0.554409796
X566.346_3.087,1
X607.227_2.771,0.551876339
X385.346_3.54,0.767950489
X650.366_2.938,0.096947108
X272.222_2.957,0.326871148
X340.285_3.14,0.087998272
X734.57_3.377,0.768455721
X191.143_3.329,0.554409796
X622.408_3.044,0.554409796
X113.964_6.749,0.554409796
X173.132_3.332,1
X296.258_2.976,0.001943688
X324.326_3.469,0.554409796
X568.361_2.947,0.743606903
X319.3_3.156,0.468316975
X199.989_2.374,0.554409796
X678.471_3.228,0.379006802
X622.372_2.977,0.554409796
X334.311_3.335,0.803670077
X480.309_2.951,0.013730392
X502.294_2.879,0.572400722
X786.601_3.279,0.702656814
X674.439_3.163,0.551876339
X184.074_0.312,0.554409796
X113.964_1.584,0.554409796
X175.148_3.322,0.656597049
X385.346_3.401,0.554409796
X113.964_1.491,0.554409796
X387.192_2.843,0.158906213
X474.249_2.887,0.554409796
X786.601_3.393,1
X128.118_4.636,0.554409796
X678.398_3.039,0.326871148
X660.424_3.08,0.943534845
X242.212_3.159,0.610191451
X694.429_3.054,0.551876339
X654.332_3.32,0.119000081
X416.337_2.79,0.003476579
X666.397_2.955,0.554409796
X414.14_2.772,0.58113855
X636.424_3.106,0.00817703
X801.313_2.768,0.031541201
X103.956_5.454,0.554409796
X991.673_2.928,0.580259767
X800.313_2.771,0.252725815
X668.413_2.991,0.554409796
X313.016_2.379,0.899490361
X538.315_2.977,0.551876339
X429.191_2.885,0.088994577
X606.378_3.022,0.554409796
X680.45_3.157,0.554409796
X692.414_2.985,0.554409796
X256.227_3.448,0.554409796
X1022.625_3.326,0.91637196
X254.212_2.739,0.938590682
X230.175_2.591,0.768455721
X180.175_2.611,0.860592559
X446.218_2.884,0.039543845
X620.393_3.029,0.90255105
X313.144_3.062,0.301514508
X152.995_6.215,0.554409796
X397.379_3.191,1
X326.306_3.148,0.943534845
X205.017_5.778,0.971335925
X172.133_3.109,0.554409796
X652.383_2.943,0.747559946
X374.303_3.189,0.674159505
X172.134_2.343,0.679762208
X670.393_2.893,1
X510.356_2.983,0.554409796
X109.023_5.881,0.554409796
X242.212_2.78,0.554409796
X654.398_2.907,0.847360888
X149.082_4.832,0.379006802
X153.041_0.336,0.145879822
X254.212_2.792,0.554409796
X402.358_2.884,0.554409796
X221.06_2.396,0.526646812
X650.403_3.074,0.711304283
X476.24_2.164,0.001097838
X688.455_3.179,0.661696097
X329.316_2.758,0.554409796
X123.079_4.851,0.704775564
X787.668_3.596,0.73352908
X622.372_3.037,0.304380633
X705.225_2.339,0.238925729
X166.087_0.522,0.637627751
X371.327_2.803,0.554409796
X652.418_3.02,0.286709927
X676.419_3.043,0.554409796
X682.363_3.329,0.001441587
X141.959_6.151,1
X153.041_0.412,0.358853845
X370.332_3.032,0.119455488
X277.216_3.018,0.068605869
X306.279_2.989,0.747559946
X518.322_2.93,0.390053235
X475.989_2.164,0.001097838
X705.141_2.339,0.551876339
X668.377_2.925,0.554409796
X596.393_3.06,0.335806795
X652.418_3.078,0.301514508
X554.288_2.924,0.119000081
X367.336_3.39,0.177312912
X676.454_3.145,1
X440.359_2.985,0.006309821
X226.081_2.237,0.22148413
X718.429_3.009,0.786149473
X120.102_0.391,0.414690915
X103.956_4.386,1
X142.035_0.315,0.497888571
X482.361_2.958,0.943534845
X119.049_2.77,0.554409796
X149.082_4.735,0.960128661
X566.382_3.018,0.554409796
X285.217_3.322,0.943308393
X368.316_2.962,0.404535835
X268.227_2.861,0.62112018
X682.429_3.009,0.286709927
X158.962_2.581,0.554409796
X142.948_0.306,0.551876339
X254.212_3.447,0.610960407
X289.014_2.395,0.554409796
X696.445_3.083,0.077692015
X638.366_2.95,0.369085307
X776.253_2.398,0.379006802
X732.444_2.968,0.554409796
X296.146_2.932,0.554409796
X720.445_3.09,0.208187153
X272.222_3.45,1
X293.211_2.931,0.035868723
X141.959_1.787,0.712494687
X141.959_1.904,0.930711505
X398.033_0.301,0.768455721
X230.176_2.586,0.031053893
X238.142_2.469,0.554409796
X534.286_3.175,0.554409796
X158.962_2.089,1
X141.959_1.562,0.938590682
X396.332_2.991,0.004176721
X594.341_2.975,0.543428347
X652.419_3.146,0.882174463
X368.316_3.329,0.031541201
X141.959_1.379,1
X145.979_5.543,0.803670077
X303.232_3.023,0.087231946
X141.959_1.2,0.938590682
X720.444_3.034,0.554409796
X666.397_3.021,0.554409796
X251.037_0.329,0.554409796
X478.294_2.879,0.054985287
X141.959_1.295,0.938590682
X303.305_3.549,0.554409796
X114.092_2.075,0.741740004
X254.212_3.319,0.870635284
X141.959_1.101,0.72989417
X694.428_3.006,0.928729292
X632.393_3.152,1
X810.601_3.479,0.846858079
X186.15_2.46,0.379006802
X484.385_2.982,0.004530537
X708.409_2.912,1
X114.092_0.357,0.554409796
X150.059_0.3,0.04049528
X776.2_2.398,0.158906213
X245.175_3.33,1
X352.357_3.617,0.641982143
X819.378_2.399,0.22068692
X494.324_2.861,0.00817703
X141.959_5.867,0.554409796
X120.066_0.596,0.554409796
X108.045_2.395,0.554409796
X138.995_6.301,0.554409796
X307.083_0.407,0.031541201
X141.959_6.954,0.661696097
X114.092_2.178,0.742604057
X787.667_3.383,0.551876339
X114.092_6.756,1
X125.016_2.257,0.554409796
X114.092_0.768,0.297451012
X620.356_2.913,0.028018703
X293.284_3.393,0.554409796
X141.959_6.859,0.554409796
X212.165_2.546.1,1
X718.428_2.956,0.767950489
X867.458_2.398,0.404535835
X638.367_3.032,0.969808824
X141.959_1.053,0.661696097
X368.389_3.935,1
X412.211_2.304,0.593847129
X564.331_3.008,0.59965439
X708.445_3.006,0.344493092
X626.366_2.922,0.554409796
X114.092_1.405,0.695798689
X694.428_2.938,0.747559946
X666.399_2.952,0.899490361
X439.121_2.673,0.629072885
X141.959_6.766,0.661696097
X114.092_1.255,0.554409796
X349.037_2.524,0.551876339
X444.369_2.876,0.007054968
X141.959_6.49,0.554409796
X141.959_0.99,0.798265861
X241.567_2.774,0.798265861
X107.061_4.811,0.554409796
X114.092_1.976,0.870528838
X114.092_1.058,1
X432.281_2.268,0.554409796
X716.45_3.129,0.554409796
X114.092_1.761,1
X818.59_3.473,0.554409796
X149.082_4.686,0.404535835
X388.306_2.704,0.252725815
X696.408_3.026,0.554409796
X441.136_2.721,0.646500664
X425.157_2.713,1
X648.422_3.047,0.554409796
X350.305_3.132,0.554409796
X690.434_3.14,0.22148413
X819.267_2.398,0.345469229
X267.207_3.326,0.554409796
X262.08_2.775,1
X708.408_2.952,1
X141.959_0.935,0.985111049
X430.223_2.769,0.004530537
X367.335_3.542,0.554409796
X158.922_0.304,0.73352908
X283.019_0.327,0.252725815
X704.45_3.153,0.822891812
X856.569_3.369,0.551876339
X141.959_0.889,0.938590682
X170.154_3.216,0.379006802
X674.439_3.065,0.490546121
X703.575_5.592,0.440538851
X618.339_2.931,0.554409796
X788.544_3.358,0.554409796
X437.374_2.96,0.554409796
X736.439_3.019,0.524896988
X776.306_2.398,0.554409796
X114.092_2.607,0.598299338
X634.372_2.992,0.554409796
X536.335_2.767,0.554409796
X828.538_3.267,0.252725815
X102.092_0.355,0.554409796
X277.216_2.857,0.034285081
X105.954_3.973,0.768455721
X306.279_3.212,0.679762208
X224.012_5.885,1
X760.475_3.131,1
X819.322_2.398,0.156497614
X289.945_0.301,0.862670195
X722.461_3.045,0.554409796
X678.397_2.979,0.252725815
X207.058_2.248,0.344493092
X618.376_2.966,0.252725815
X169.978_2.574,0.768455721
X810.602_5.596,0.554409796
X351.253_2.927,1
X604.362_2.948,0.008914977
X552.33_2.721,0.554409796
X155.991_6.136,0.554409796
X732.445_3.025,0.593847129
X746.46_3.114,0.335806795
X298.2_2.676,0.535589907
X130.534_5.957,1
X706.428_3.009,0.604843094
X155.991_6.367,0.611373426
X479.152_2.786,0.554409796
X748.439_2.944,0.845223133
X114.092_2.659,0.758748333
X202.109_5.277,0.554409796
X105.954_4.375,1
X748.439_2.997,1
X263.08_2.779,0.096947108
X487.105_2.774,0.554409796
X705.621_2.412,0.554409796
X159.969_1.214,0.554409796
X224.012_6.019,0.554409796
X340.321_3.334,1
X141.959_0.74,0.768455721
X155.991_6.023,1
X224.012_6.302,0.554409796
X125.071_5.026,0.458253723
X788.616_5.598,0.554409796
X584.357_2.977,1
X177.114_5.324,1
X787.668_3.787,0.551876339
X311.222_2.694,0.554409796
X186.149_2.502,0.554409796
X445.303_2.334,0.554409796
X722.423_2.938,0.554409796
X787.668_3.325,0.73352908
X130.534_5.896,0.554409796
X170.154_3.329,0.768455721
X486.097_2.773,0.554409796
X811.309_2.773,0.004437296
X223.056_2.398,0.068605869
X886.543_3.045,0.677922504
X253.009_0.331,0.565930283
X640.382_3.01,1
X568.325_2.81,0.554409796
X858.584_3.362,0.928729292
X867.399_2.399,0.279207502
X339.032_2.412,0.554409796
X399.089_2.527,0.925539989
X335.059_2.522,0.661696097
X686.439_3.122,0.03861383
X351.217_2.741,0.016810449
X648.388_2.997,0.208483386
X222.147_2.554,0.656597049
X918.533_2.981,1
X102.092_0.611,0.803670077
X790.559_3.436,1
X552.331_2.608,0.108609847
X111.969_6.387,0.551876339
X764.434_2.913,1
X258.111_0.302,0.434604353
X662.404_3.01,0.099803502
X166.053_0.305,0.803670077
X382.295_2.86,0.554409796
X902.539_3.065,0.661696097
X128.018_0.336,0.00817703
X710.387_2.978,1
X724.403_2.913,0.819883408
X900.524_2.999,0.289933174
X155.991_6.411,0.554409796
X102.092_0.737,0.554409796
X367.248_2.847,1
X123.045_0.997,0.554409796
X692.449_3.099,0.999105834
X130.534_6.034,0.554409796
X156.011_2.394,0.554409796
X243.088_2.415,0.017250374
X108.069_4.991,0.816911005
X706.428_3.062,0.554409796
X816.574_3.35,0.301514508
X916.518_3.002,0.554409796
X138.996_6.048,0.554409796
X130.534_6.086,0.554409796
X870.549_3.151,0.554409796
X203.007_0.309,0.008281722
X662.403_3.098,1
X127.98_0.372,0.554409796
X884.528_3.107,0.798265861
X704.449_3.104,1
X200.996_6.495,1
X774.564_3.587,0.554409796
X352.248_2.931,0.554409796
X154.991_6.397,1
X154.99_6.339,0.554409796
X154.99_6.076,1
X110.021_6.438,0.661696097
X643.138_2.521,0.554409796
X307.004_2.393,0.38367485
X128.118_4.242,0.727686425
X788.616_3.614,0.554409796
X152.995_6.44,0.984884448
X788.616_3.75,0.551876339
X131.975_6.684,0.803670077
X309_2.393,0.554409796
X131.975_6.925,0.554409796
X200.996_6.552,1
X200.996_6.663,0.551876339
X776.359_2.398,0.201626576
X921.611_2.399,0.349349634
X200.996_6.608,1
X819.433_2.399,0.301514508
X129.066_4.445,0.379006802
X152.118_4.54,0.554409796
X921.486_2.399,0.093544009
X152.995_5.959,1
X867.576_2.399,0.230601038
X111.969_6.564,0.73352908
X867.34_2.399,0.425825542
X344.229_2.208,0.554409796
X116.071_0.468,1
X819.489_2.399,0.291109533
X776.148_2.398,0.345469229
X114.092_0.517,0.859083414
X114.092_0.571,0.938590682
X121.064_5.008,0.551876339
X476.308_2.282,0.554409796
X819.211_2.398,0.492151147
X107.061_4.761,0.353513872
X114.092_0.429,0.898373091
X109.023_6.436,1
X114.092_0.859,1
X116.071_0.411,1
X114.092_1.158,0.968920524
X114.092_1.494,0.641909427
X921.674_2.399,0.22068692
X109.023_6.291,0.554409796
X118.087_0.476,0.124757667
X118.087_0.407,0.554409796
X806.57_3.909,0.73352908
X336.326_3.423,0.768455721
X782.569_3.961,0.333006064
X372.244_2.75,0.554409796
X830.569_3.703,0.551876339
X782.57_4.015,0.593847129
X834.601_4.341,0.768455721
X834.601_4.172,0.554409796
X764.522_3.72,1
X304.3_2.835,0.551876339
X760.586_5.601,0.551876339
X748.527_3.807,0.768455721
X834.601_4.227,0.554409796
X792.554_3.915,0.661696097
X424.342_2.865,0.554409796
X788.521_3.624,0.551876339
X498.289_2.582,0.554409796
X530.289_2.929,0.208187153
X832.584_3.929,0.554409796
X528.309_2.923,0.551876339
X329.248_3.235,0.099803502
X328.321_3.281,0.803670077
X768.553_4.057,0.554409796
X766.537_3.827,0.554409796
X734.57_5.605,0.73352908
X572.372_2.972,0.041267647
X305.248_3.26,0.166397569
X838.559_3.337,0.649870745
X438.298_2.957,0.798265861
X790.574_3.98,0.554409796
X814.559_3.371,0.554409796
X834.603_5.596,0.704934355
X300.29_3.145,0.379006802
X256.3_2.83,0.554409796
X1047.735_3.044,0.73352908
X784.584_4.164,0.554409796
X854.554_3.249,0.378002856
X480.345_2.967,0.540735411
X1111.672_2.893,0.551876339
X570.283_2.981,0.551876339
X1087.672_2.892,0.554409796
X530.325_2.96,0.768455721
X768.553_4.007,0.554409796
X548.372_2.99,0.349349634
X256.227_3.318,0.554409796
X572.335_2.938,0.899490361
X728.486_3.279,0.803670077
X792.553_3.906,0.565930283
X1135.672_2.89,0.265396987
X838.558_3.365,0.554409796
X620.437_2.993,0.768455721
X448.342_2.867,0.554409796
X854.554_3.321,0.554409796
X731.607_5.593,0.554409796
X546.356_2.933,0.097406233
X576.411_2.999,0.768455721
X256.191_2.844,1
X532.385_3.004,0.768455721
X740.522_3.791,0.554409796
X556.304_2.967,0.554409796
X804.553_3.688,0.554409796
X240.116_2.324,0.05018462
X822.564_3.588,0.913781831
X664.463_2.992,0.768455721
X822.564_3.498,0.955355159
X870.548_3.337,0.798265861
X415.14_2.768,0.04049528
X353.146_2.624,0.554409796
X1093.625_2.886,0.379006802
X880.569_3.352,0.068605869
X226.1_2.274,1
X608.227_2.768,0.048228896
X708.489_2.982,1
X364.252_2.923,0.768455721
X464.314_2.993,0.554409796
X1017.688_2.946,0.554409796
X1069.624_2.889,0.661696097
X377.195_2.868,0.786149473
X300.29_2.788,0.554409796
X1063.674_2.914,0.491080004
X838.558_3.491,0.379006802
X714.471_3.247,0.722380922
X375.21_2.633,0.73352908
X122.072_3.63,0.930711505
X538.388_3.104,0.819883408
X488.359_3.01,1
X866.59_3.576,1
X898.58_3.268,0.158906213
X385.274_2.874,0.999366536
X820.548_3.485,0.551876339
X766.501_3.29,0.73352908
X184.073_2.885,0.641982143
X319.299_3.424,1
X327.232_3.01,0.011793739
X385.165_2.771,0.551876339
X149.082_4.534,0.554409796
X550.388_3.072,0.379006802
X1051.578_2.882,1
X874.579_3.377,0.554409796
X506.288_2.93,0.491080004
X610.373_3.02,1
X874.579_3.277,0.768455721
X822.564_3.632,0.925539989
X776.558_4.042,0.554409796
X752.515_2.977,1
X852.538_3.349,0.816199913
X814.559_3.275,0.419067947
X836.543_3.281,0.391073881
X1049.619_2.93,0.551876339
X149.082_4.366,0.554409796
X836.543_3.349,0.554409796
X862.559_3.343,0.554409796
X171.15_2.504,0.176259532
X846.549_3.324,0.554409796
X518.325_2.837,0.010881885
X754.501_3.331,0.862670195
X149.082_4.427,0.7207001
X866.59_3.462,0.565930283
X149.082_4.314,0.554409796
X718.465_3.24,1
X548.335_2.94,0.554409796
X898.58_3.329,0.28867777
X638.402_3.085,0.554409796
X120.066_0.547,0.579938286
X1045.625_2.888,0.570803576
X798.563_3.515,0.554409796
X798.563_3.548,0.554409796
X638.403_2.987,1
X172.977_0.472,0.668429472
X828.551_3.874,0.73352908
X546.353_3.044,0.554409796
X844.546_3.366,0.768455721
X850.595_3.651,0.862670195
X584.335_2.79,0.201626576
X117.103_0.539,0.604843094
X305.133_2.339,0.565930283
X444.332_3.016,1
X858.584_3.285,0.554409796
X590.322_2.887,0.054985287
X820.548_3.59,0.554409796
X371.316_3.611,0.803670077
X161.092_0.327,0.7806305
X257.223_2.565,0.728463778
X312.633_2.891,0.133632032
X780.517_3.358,0.798265861
X149.082_4.27,0.894583365
X880.569_3.302,0.903294334
X866.59_3.505,1
X812.542_3.314,1
X812.542_3.362,1
X744.481_3.262,1
X850.595_3.71,0.551876339
X878.553_3.259,0.554409796
X862.558_3.288,0.524896988
X129.066_4.228,1
X874.58_3.338,1
X115.087_0.54,0.898373091
X646.408_3.15,0.554409796
X796.547_3.473,0.554409796
X862.558_3.346,1
X879.255_2.556,1
X249.112_2.768,0.001097838
X726.47_3.203,0.836909975
X383.367_3.962,0.554409796
X866.59_3.69,0.768455721
X307.173_2.826,0.925539989
X297.146_2.932,0.803670077
X730.465_3.236,1
X896.564_3.284,0.551876339
X184.073_2.94,1
X758.496_3.309,0.554409796
X559.385_2.999,0.554409796
X634.408_3.14,0.668429472
X879.004_2.556,0.943534845
X131.975_6.769,0.554409796
X131.975_6.581,1
X650.404_3.146,0.551876339
X343.227_3.017,0.554409796
X159.969_6.74,0.554409796
X686.439_3.257,1
X898.579_3.362,0.554409796
X700.454_3.163,0.862670195
X468.309_2.821,1
X796.512_3.324,1
X668.414_2.975,0.301514508
X716.485_3.266,1
X796.512_3.283,0.899328966
X343.227_2.907,0.037240362
X736.476_3.119,0.08641188
X796.547_3.404,0.554409796
X337.274_3.164,0.554409796
X111.044_2.768,0.00468956
X361.274_3.162,0.661696097
